RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Load,Class_3,Normalized_Power,Normalized_Load
2.173,236.861,11,85,240,24,3,2,0.25,0.733
2.418,237.606,2,95,270,27,1,3,0.691,0.133
2.172,239.636,8,75,239,24,1,2,0.235,0.533
2.204,240.5,12,75,246,25,2,2,0.338,0.8
2.174,240.371,9,85,241,25,2,2,0.265,0.6
2.165,240.273,10,85,243,25,2,2,0.294,0.667
2.202,240.546,3,75,245,25,2,2,0.324,0.2
2.128,240.467,1,70,234,24,1,1,0.162,0.067
2.152,240.459,0,85,239,24,0,2,0.235,0.0
2.172,241.06,10,75,244,25,2,2,0.309,0.667
2.151,240.602,1,85,242,25,1,2,0.279,0.067
2.207,239.917,14,75,246,25,3,2,0.338,0.933
2.094,239.122,0,15,225,23,0,1,0.029,0.0
2.111,238.928,0,15,226,23,0,1,0.044,0.0
2.133,240.318,8,75,238,24,1,2,0.221,0.533
2.431,236.927,11,95,275,28,3,3,0.765,0.733
2.361,237.221,1,95,266,27,1,3,0.632,0.067
2.174,240.73,12,85,243,25,2,2,0.294,0.8
2.158,240.205,4,75,240,24,1,2,0.25,0.267
2.354,237.317,0,95,263,27,0,3,0.588,0.0
2.169,240.35,2,75,242,25,1,2,0.279,0.133
2.131,240.565,0,45,233,24,0,1,0.147,0.0
2.186,240.961,3,85,243,25,2,2,0.294,0.2
2.131,239.794,0,0,230,24,0,1,0.103,0.0
2.169,240.279,0,70,239,24,0,1,0.235,0.0
2.166,237.105,14,85,249,25,3,2,0.382,0.933
2.426,237.059,14,95,276,28,3,3,0.779,0.933
2.167,240.588,13,75,242,25,3,2,0.279,0.867
2.373,237.811,1,95,265,27,1,3,0.618,0.067
2.145,240.003,7,75,244,25,3,2,0.309,0.467
2.134,240.462,8,85,240,24,1,2,0.25,0.533
2.186,240.604,10,85,244,25,2,2,0.309,0.667
2.517,237.181,15,95,280,28,4,3,0.838,1.0
2.149,240.62,5,75,241,25,2,2,0.265,0.333
2.165,240.466,0,75,238,24,0,2,0.221,0.0
2.196,240.726,12,75,245,25,2,2,0.324,0.8
2.158,236.763,11,85,240,24,3,2,0.25,0.733
2.596,236.978,7,95,281,29,3,3,0.853,0.467
2.155,240.919,9,75,241,25,2,2,0.265,0.6
2.196,240.5,12,75,245,25,2,2,0.324,0.8
2.176,240.442,0,70,237,24,0,1,0.206,0.0
2.187,240.725,5,85,243,25,2,2,0.294,0.333
2.175,240.481,10,75,245,25,2,2,0.324,0.667
2.152,240.079,13,75,239,24,3,2,0.235,0.867
2.388,236.665,4,95,265,27,1,3,0.618,0.267
2.201,241.259,6,85,248,25,2,2,0.368,0.4
2.108,240.325,1,70,232,24,1,1,0.132,0.067
